code,name,letter_code,type,alias
"01","Thành phố Hà Nội","HNI","Thành phố Trung Ương",""
"04","Cao Bằng","CBG","Tỉnh",""
"08","Tuyên Quang","TGQ","Tỉnh",""
"11","Điện Biên","DBN","Tỉnh",""
"12","Lai Châu","LCU","Tỉnh",""
"14","Sơn La","SLA","Tỉnh",""
"15","Lào Cai","LCI","Tỉnh",""
"19","Thái Nguyên","TNN","Tỉnh",""
"20","Lạng Sơn","LSN","Tỉnh",""
"22","Quảng Ninh","QNH","Tỉnh",""
"24","Bắc Ninh","BNH","Tỉnh",""
"25","Phú Thọ","PTO","Tỉnh",""
"31","Thành phố Hải Phòng","HPG","Thành phố Trung Ương",""
"33","Hưng Yên","HYN","Tỉnh",""
"37","Ninh Bình","NBH","Tỉnh",""
"38","Thanh Hóa","THA","Tỉnh",""
"40","Nghệ An","NAN","Tỉnh",""
"42","Hà Tĩnh","HTH","Tỉnh",""
"44","Quảng Trị","QTI","Tỉnh",""
"46","Thành phố Huế","TTH","Thành phố Trung Ương",""
"48","Thành phố Đà Nẵng","DNG","Thành phố Trung Ương",""
"51","Quảng Ngãi","QNI","Tỉnh",""
"52","Gia Lai","GLI","Tỉnh",""
"56","Khánh Hòa","KHA","Tỉnh",""
"66","Đắk Lắk","DLK","Tỉnh",""
"68","Lâm Đồng","LDG","Tỉnh",""
"75","Đồng Nai","DNI","Tỉnh",""
"79","Thành phố Hồ Chí Minh","HCM","Thành phố Trung Ương",""
"80","Tây Ninh","TNH","Tỉnh",""
"82","Đồng Tháp","DTP","Tỉnh",""
"86","Vĩnh Long","VLG","Tỉnh",""
"91","An Giang","AGG","Tỉnh",""
"92","Thành phố Cần Thơ","CTO","Thành phố Trung Ương",""
"96","Cà Mau","CMU","Tỉnh",""
